Основные характеристики Планшетный компьютер Samsung GT-P6200 16Gb Metal Grey:
Модель:	GT-P6200 16Gb Metal Grey
Операционная система	Android 3.2
Поддержка GSM 2G/3G	Да
Поддержка Wi-Fi	IEEE 802.11 b/g/n
Встроенный модуль Bluetooth	3.0
GPS приемник	Да
Тип процессора	S5PV310 Exynos 4210
Встроенная память	16 ГБ
Диагональ/разрешение	7"/1024х600 пикс.
Разрешение матрицы фотокамеры	3 МПикс

Вы можете купить Samsung GT-P6200 16Gb Metal Grey в интернет-магазине М.Видео по доступной цене. Планшетный компьютер Samsung GT-P6200 16Gb Metal Grey: описание, фото,
